asin,Title,rate1,rate2,rate3,rate4,rate5,rating,totalreviews
B01MDMJGYT,Motorola MOTO Z PLAY (XT1635) Factory Unlocked Phone - 5.5 Screen - 32GB - Black (International Version - No Warranty),22,6,6,21,99,4.1,161
B01MSC0FK8,Samsung Galaxy S7 G930P 32GB Gold - Sprint (Renewed),40,8,9,13,59,3.5,140
B01MY2FEAS,Samsung Galaxy Note 5 N920T 32GB - White (T-Mobile),2,1,2,0,8,3.7,14
B01MZG55UE,"Samsung Galaxy S6, G920P White Pearl 32GB - Sprint (Renewed)",38,12,16,11,44,3.1,124
B01N064CH1,Motorola Droid MAXX 2 XT1565 16GB Blue - Verizon Unlocked (Renewed),7,4,0,4,12,3.3,27
B01N0O2MFZ,"Motorola XT1601 Moto G4 Play DUAL SIM Black+Lava Cover 2GB/16GB (International Version) , GSM ONLY",0,1,3,0,3,3.5,7
B01N1Q6V7K,Samsung J3 - Verizon Prepaid,8,4,1,4,24,3.6,41
B01N2HPFWK,"Google Pixel XL (128GB, 4GB RAM) 5.5 AMOLED HD Display, Global 4G LTE, US Factory Unlocked Model (GSM, Verizon, Sprint) - Very Silver",15,1,1,13,48,3.9,87
B01N37MPDI,"Samsung Galaxy Note 5, N920P 64GB - Gold Platinum (Sprint)",1,0,0,2,2,3.9,6
B01N4E0RF1,Samsung Galaxy S7 - Black - 32GB - Verizon (Renewed),98,28,37,80,289,3.8,600
B01N4IHGHI,"Apple iPhone 6S, 16GB, Gold - For AT&T (Renewed)",10,2,2,4,23,3.7,46
B01N4R20RS,"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",7,0,0,0,3,3.6,4
B01N5BOBIF,"Google Pixel, 5 32GB (Verizon Wireless) - Black",11,2,1,1,11,3,26
B01N5WQ2P4,Samsung Galaxy Note 4 N910P 32GB Frosted White - Sprint (Renewed),3,2,2,0,3,3.2,10
B01N9I0RWL,"Apple iPhone 6S, 128GB, Rose Gold - For AT&T / T-Mobile (Renewed)",0,0,1,0,2,4.6,3
B01N9R1JA7,Samsung TWSAS120VCP-3 Galaxy J1 Luna 4G LTE Total Wireless Prepaid Smartphone,1,0,1,1,4,3.7,8
B01N9TM7KG,"Samsung Galaxy S7 Edge, 5.5 32GB (Verizon Wireless) - Blue",34,12,10,17,99,3.7,181
B01N9XOXCK,Samsung Galaxy S7 Edge G935V 32GB Gold - Verizon (Renewed),124,36,46,62,300,3.8,606
B01N9YO1DS,"Apple iPhone 7, 128GB, Gold - For AT&T / T-Mobile (Renewed)",52,16,19,18,81,3.5,227
B01NB1KG8U,Samsung Galaxy S7 Edge G935A 32GB Gold - Unlocked GSM (Renewed),45,12,13,33,156,4,308
B01NC157KR,Samsung Galaxy Note 5 32GB N920P Gold Platinum - Sprint (Certified Refurbished),24,4,1,4,33,3.3,69
B01NC2MEJP,Samsung Galaxy Note 5 32GB GSM Unlocked - Black (Renewed) (D132),99,24,29,28,92,3.2,301
B06WP78R6X,Samsung Galaxy S7 Edge G935P 32GB Black - Sprint (Renewed),10,1,6,5,37,3.6,60
B06WRSK754,Samsung Galaxy S6 G920A 32GB Unlocked GSM (Black Sapphire) (Renewed),9,2,0,1,11,3.2,31
B06WWLYGWW,Samsung Galaxy S6 Edge G925P 32GB White Pearl - Sprint (Certified Refurbished),0,0,0,0,2,5,2
B06X9HVVC5,Sony Xperia XA1 G3123 32GB Unlocked GSM LTE Octa-Core Phone w/ 23MP Camera - White,73,41,25,20,72,3,232
B06X9X15Y8,"Apple iPhone 7 Plus, 128GB, Silver - Fully Unlocked (Renewed)",4,0,0,1,5,3.9,2
B06XGLHP8V,"Apple iPhone 7 Plus, GSM Unlocked, 128GB - Rose Gold (Renewed)",19,3,2,5,26,3.5,83
B06XGZHSBS,Sony Xperia L1 G3313 16GB Unlocked GSM Quad-Core Android Phone - Pink,17,10,13,22,49,3.7,117
B06XJCHZPW,Samsung Galaxy S6 Edge G925P 32GB Gold - Sprint (Renewed),1,0,0,0,0,1,1
B06XR1K6HR,"Apple iPhone 6S Plus, 64GB, Rose Gold - For AT&T / T-Mobile (Renewed)",11,2,2,2,30,3.8,56
B06XR8G1TX,"Apple iPhone 6S, 64GB, Space Gray - Fully Unlocked (Renewed)",78,28,30,44,141,3.5,394
B06XRG6S73,"Apple iPhone 6S, 16GB, Rose Gold - For AT&T / T-Mobile (Renewed)",67,23,25,45,179,3.7,379
B06XRJQX91,"Apple iPhone 6S, 64GB, Rose Gold - For AT&T / T-Mobile (Renewed)",94,22,32,46,176,3.6,427
B06XRJXL3R,Apple iPhone 7 Plus 256GB Unlocked GSM Quad-Core Phone - Black (Renewed),22,4,7,13,78,4.1,153
B06XRN4RWL,"Apple iPhone 7 Plus, 128GB, Gold - For Sprint (Renewed)",7,0,3,2,11,3.8,28
B06XS2GWFC,Samsung Galaxy J7 - Verizon Carrier Locked No Contract Prepaid Smartphone,106,22,20,45,179,3.6,381
B06XS3CTJM,Apple iPhone 7 Plus 256GB Unlocked GSM 4G LTE Quad-Core Smartphone - Jet Black (Renewed),34,6,7,16,92,4,193
B06XS4978K,Apple iPhone 7 Plus 32GB Unlocked GSM 4G LTE Quad-Core Smartphone - Black (Renewed),15,2,6,10,44,3.8,101
B06XS98LMS,Samsung G550T GSM 4G LTE Unlocked Galaxy ON5 Smartphone,15,5,3,12,21,3.5,58
B06XSF5C42,Samsung Galaxy S7 Edge 32GB G935A GSM Unlocked (Renewed) (Black),65,22,21,41,119,3.5,301
B06XW9RMYW,"Samsung Galaxy S7 Active G891A 32GB Unlocked GSM Shatter,Dust and Water Resistant Smartphone w/ 12MP Camera (AT&T) - Sandy Gold",38,10,16,13,74,3.5,160
B06XY93RFQ,Samsung Galaxy Note 4 N910v 32GB Verizon Wireless CDMA Smartphone - Frosted White (Renewed),38,8,5,5,41,3,116
B06XYKR7GP,Samsung Galaxy S8+ 64GB GSM Unlocked Phone - International Version (Midnight Black),7,3,3,5,32,4,54
B06XYMCMHD,"Samsung Galaxy S8 SM-G950F Unlocked 64GB - International Version/No Warranty (GSM Only, No CDMA) (Midnight Black)",22,3,2,11,76,3.9,117
B06XZPNYL7,Samsung Galaxy S8 64GB GSM Unlocked Phone - International Version (Orchid Gray),6,1,0,3,8,3.1,20
B06XZRH5ZC,Samsung Galaxy S8 64GB Unlocked Phone - International Version (Maple Gold),23,6,3,9,67,4,117
B06XZWNRC5,Samsung Galaxy S8+ SM-G955U 64GB Arctic Silver AT&T,2,2,0,1,3,3.1,8
B06Y14K2C6,Samsung Galaxy S8+ 64GB Phone -6.2 display - T-Mobile Unlocked (Arctic Silver),14,2,3,8,45,4.1,83
B06Y14T5YW,Samsung Galaxy S8 64GB Factory Unlocked Smartphone - US Version (Midnight Black) - US Warranty - [SM-G950UZKAXAA],8,0,0,0,2,4,2
B06Y15CB1T,Samsung Galaxy S8 64GB GSM Unlocked Phone - US Version (Coral Blue),0,0,1,1,1,4,3
B06Y15D68F,Samsung Galaxy S8 64GB Unlocked Phone - US Version (Orchid Gray),5,0,3,2,11,3.6,24
B06Y16RL4W,Samsung Galaxy S8+ 64GB Factory Unlocked Smartphone - 6.2 Screen - US Version (Midnight Black) - US Warranty [SM-G955UZKAXAA],175,50,42,56,422,3.7,793
B06Y17BL9Y,Samsung Galaxy S8 G950U 64GB AT&T GSM Unlocked Phone - Orchid Grey,1,1,1,0,1,2.5,4
B06Y189H68,Samsung Galaxy S8 64GB Phone- 5.8 display - AT&T Unlocked (Midnight Black),15,0,1,2,28,3.5,48
B06Y18MNFG,Samsung Galaxy S7 G930T 32GB T-Mobile Unlocked - Gold (Certified Refurbished),2,1,0,0,2,2.8,5
B06Y29N548,Samsung Galaxy S7 Edge G935A 32GB Unlocked GSM Smartphone w/12MP Camera - Black,6,2,0,1,13,3.5,25
B06Y2GX8K8,"Sony Xperia XZ Premium - Unlocked Smartphone - 5.5, 64GB - Dual SIM - Pink (US Warranty)",21,10,10,25,103,4,169
B06Y3HCFZT,"Samsung Galaxy S8+, 6.2 64GB (Verizon Wireless) - Midnight Black",7,1,5,4,37,4.1,54
B06ZZMX54B,Samsung Galaxy J3 Emerge J327P SILVER Android Cell Phone - SPRINT,0,0,0,0,1,5,1
B0711S4T9J,"Huawei E8372h-608 Unlocked 150 Mbps 4G LTE WiFi USB Wingle (4G LTE in USA (AT&T only), Europe, Asia, Middle East and Africa) (White, Telenor Logo)",11,1,4,3,18,3.2,42
B0714DBSNH,Verizon Motorola Moto E4 Plus Carrier Locked Prepaid Phone,4,3,1,4,15,3.8,28
B071DQ128D,Samsung Galaxy S8 Plus (S8+) (SM-G955FD) 4GB RAM / 64GB ROM 6.2-Inch 12MP 4G LTE Dual SIM FACTORY UNLOCKED - International Stock No Warranty (MAPLE GOLD),14,6,4,14,69,4.1,112
B071H9KKKF,Samsung Galaxy S8 Plus (S8+) (SM-G955FD) 4GB RAM / 64GB ROM 6.2-Inch 12MP 4G LTE Dual SIM FACTORY UNLOCKED - International Stock No Warranty (MIDNIGHT BLACK),82,29,23,43,285,4,480
B071JP8XDJ,Sony Xperia XA1 Ultra G3223 32GB Unlocked GSM LTE Octa-Core Phone w/ 23MP - Gold,61,21,27,40,153,3.6,313
B071JPQYGK,"Apple iPhone 7 Plus, AT&T Locked, 128GB - Jet Black (Renewed)",1,1,1,3,5,3.5,12
B071KGTRG8,Samsung Galaxy J7 4G LTE 5 16 GB GSM Unlocked - Black,7,3,1,7,8,3.6,27
B071VGLCRX,Samsung Galaxy S6 (SM-G920V) - 32GB Verizon + GSM Smartphone - Black Sapphire (Renewed),33,10,8,23,78,3.7,173
B071VTYHDQ,Verizon Motorola Moto E4 Prepaid Phone - Carrier Locked to Verizon Prepaid,7,1,2,4,29,4.1,47
B071W9WQ8M,"Apple iPhone 6S, 32GB, Gold - For AT&T / T-Mobile (Renewed)",8,3,2,3,22,3.8,48
B071XBH5PL,Samsung Galaxy S8 Plus 64GB Orchid Gray AT&T,0,0,0,0,1,3.5,4
B071ZDQ6MV,Nokia 6 - 32 GB - Dual Sim Unlocked Smartphone (AT&T/T-Mobile/Metropcs/Cricket/Mint) - Update To Android 9.0 PIE - 5.FHD Screen - Blue - U.S. Warranty,100,47,41,82,251,3.7,558
B0721KVTMC,Samsung Galaxy Note 5 SM-N920T 32GB Platinum Gold - T-Mobile Unlocked GSM,8,2,1,4,8,3.2,26
B0722NN2RG,Samsung Galaxy S7 G930A 32GB Black Onyx - Unlocked GSM,19,3,5,11,47,3.7,92
B0723HG35R,Samsung Galaxy Tab S2 8.0 inch - 32 GB Tablet (Black) SM-T713 WiFi - (Certified Refurbished),1,0,0,0,2,3.8,3
B0723HG3FG,Samsung Galaxy J3 Prime SM-J327T 4G LTE 7.0 Nougat 5 Smartphone (T-Mobile) - Black,5,1,0,4,1,2.9,13
B0724ZGB5K,"Samsung Galaxy S8 (64GB) G950U 5.8 4G LTE Unlocked (GSM + CDMA, US WARRANTY) (Midnight Black)",10,0,2,1,3,2.4,16
B072B7XSVT,Google Pixel 1st Gen 32GB Factory Unlocked GSM/CDMA Smartphone for AT&T + T-Mobile + Verizon Wireless + Sprint (Quite Black),8,4,1,1,13,3.3,33
B072KPG9PN,Samsung Galaxy J3 Prime J327A 16GB 4G LTE 7.0 Nougat 5 GSM Unlocked - Black,40,9,13,24,85,3.7,183
B072MQRRTR,Samsung Galaxy S8 64GB SM-G950U Midnight Black - Sprint (Renewed),3,0,0,0,6,3.2,9
B072N3GKSM,"Google Pixel GSM Unlocked (Renewed) (32GB, Gray)",110,37,22,32,101,2.9,319
B072QR6NKG,Samsung Galaxy S8 64GB SM-G950U Orchid Gray - Sprint (Renewed),1,1,0,1,7,3.9,11
B072R77NG5,Motorola Moto Z2 4G LTE XT1710-09 Dual Sim Unlocked 64GB 4GB RAM Octa Core Fingerprint 5.5 International Version,1,1,0,1,2,3.2,5
B072V2BNM6,"Samsung Galaxy J3 Prime J327A | (16GB, 1.5 RAM) | 5 Full HD Display | Dual Camera | 2,600 mAh Battery | Android 7.0 Nougat | 4G LTE | GSM Unlocked Smartphone - (Silver)",6,6,4,3,20,3.7,45
B072ZWCKP5,Motorola XT1775 Moto E Plus (4th Gen.) 32GB Unlocked Fine Gold Smartphone,33,18,14,51,213,4.2,336
B0731HBTZ7,"Apple iPhone 7 32GB, Rose Gold (Renewed)",97,12,15,39,207,3.8,452
B0731KVYPN,"Google Pixel GSM Unlocked (Renewed) (128GB, Silver)",13,3,1,4,17,3.2,41
B0732NTJ2M,"Apple iPhone 6S, 16GB, Gold - For AT&T / T-Mobile (Renewed)",9,5,2,4,20,3.5,58
B0735HPCB1,Samsung Convoy 4 B690 Rugged Water-Resistant Verizon Flip Phone w/ 5MP Camera - Blue (Renewed),3,1,0,1,1,2.5,6
B0743HD6MS,"Apple iPhone 7, 32GB, Silver - For AT&T / T-Mobile (Renewed)",5,2,0,3,11,3.9,30
B0743J3P8G,Samsung Galaxy Tab 4 T237P 7.0-inch 16GB Sprint 4G LTE Android Tablet PC - Black (Certified Refurbished),1,0,0,0,0,1,1
B0743N1S93,Samsung Galaxy S7 G930A 32GB Unlocked GSM 4G LTE Quad-Core Phone w/ 12MP Camera - Rose Gold (Renewed),0,0,1,0,2,4.5,6
B07455VT9F,Samsung J327V Eclipse Verizon (Black),2,0,1,2,10,4.2,16
B074MJ3Y7L,Samsung Galaxy S7 Edge Verizon Wireless CDMA 4G LTE Smartphone w/ 12MP Camera and Infinity Screen - Silver,4,0,1,2,8,3.6,16
B074MJDYZM,Total Wireless Samsung Galaxy S8+ 4G LTE Prepaid Smartphone,0,0,0,0,2,5,2
B074N8N1V4,Huawei Y5 Lite 2017 CRO-L23 5.0 4G LTE Quad Core 8GB 8MP Smarthphone Factory Unlocked (Grey) (International Version- No Warranty),2,0,0,1,9,4.1,12
B074P62MW8,Sony Xperia XZ1 Factory Unlocked Phone - 5.2 Full HD HDR Display - 64GB - Venus Pink (U.S. Warranty),11,3,4,13,49,3.8,81
B074PYHP6Q,Samsung Galaxy S8 SM-G950UZVAATT - AT&T - Midnight Black (Renewed),1,0,0,0,2,2.8,4
B074VDZZKW,Motorola MOTO G5S Plus XT1806 32GB Factory Unlocked Cell Phone Blush Gold,1,0,0,1,9,4.4,11
B074VFCXB3,Motorola XT1806 Factory Unlocked Phone - 5.5 Screen - 64GB - Blush Gold (U.S. Warranty),0,0,2,1,6,4.5,10
B074VFRKZG,Motorola Moto X4 Factory Unlocked Phone - 32GB - 5.2 - Super Black - PA8S0006US,21,9,11,29,106,4.1,184
B074XF6JCD,Motorola Moto Z2 Force XT1789 64GB ATT only (Super Black),5,3,2,2,7,3.5,20
B0751KLN39,Motorola Moto Z2 Play XT1710-06 - 64GB Single SIM Factory Unlocked Smartphone (Dark Gray - International Version),2,1,0,0,8,3.9,11
B07536MYBQ,Samsung Galaxy Note8 N950U 64GB Unlocked GSM LTE Android Phone w/ Dual 12 Megapixel Camera - Midnight Black,93,29,40,55,302,3.9,546
B0753QKW5L,Samsung Galaxy Tab E 8in 16GB 4G LTE AT&T Unlocked Android 5.1.1 Lollipop (Renewed),7,1,2,2,6,2.9,22
B07579T83L,Nokia 105 [2017] TA-1037 Only 2G Dual-Band (850/1900) Factory Unlocked Mobile Phone Black no warranty (White),58,4,9,12,41,3,133
B0757LYR7P,Samsung Galaxy S8 SM-G950UZSAVZW - Verizon - Coral Blue (Renewed) …,0,0,0,0,2,5,2
B075FL4H89,Nokia 3310 3G - Unlocked Single SIM Feature Phone (AT&T/T-Mobile/MetroPCS/Cricket/Mint) - 2.4 Inch Screen - Charcoal,106,53,60,59,164,3.4,497
B075FLG6MV,Nokia 2 - Android - 8GB - Dual SIM Unlocked Smartphone (AT&T/T-Mobile/MetroPCS/Cricket/H2O) - 5 Screen - Black - U.S. Warranty,97,36,42,49,115,3.1,359
B075H3VWGN,Samsung Galaxy S7 G930T 32GB T-Mobile Unlocked - Black,4,5,0,2,23,4.1,41
B075QRTVNC,"Sony Xperia XA1 Plus - Unlocked Smartphone - 5.5, 32GB - Blue (US Warranty)",5,2,3,3,20,3.7,34
B075SKYZXY,Motorola Moto Z2 Force XT1789 64GB Lunar Gray T-Mobile,12,5,5,3,29,3.7,56
B075SPVK8D,Samsung Galaxy Note 8 SM-N950U 64GB Gray Verizon Unlocked -Excellent,5,0,1,5,37,4.4,54
B075Z4NBZC,Samsung Galaxy Note 5 SM-N920T 64GB White - T-Mobile (Certified Refurbished),0,0,0,0,1,5,1
B075ZD2WFN,Samsung Galaxy S8+ G955U 64GB Unlocked GSM U.S. Version Smartphone w/ 12MP Camera - Orchid Gray,7,0,0,0,11,3.6,19
B075ZDV79Y,Samsung Galaxy S8+ G955U 64GB Unlocked GSM U.S. Version Phone w/ 12MP Camera - Arctic Silver,2,2,1,0,1,2.6,6
B075ZGJMQY,Samsung Galaxy Note 8 64GB Unlocked GSM LTE Android Phone w/ Dual 12 Megapixel Camera - Midnight Black,24,1,6,4,47,3.7,104
B075ZHJ1SK,Samsung Galaxy S8+ G955U 64GB T-Mobile GSM Smartphone w/ 12MP Camera - Arctic Silver,0,0,1,0,0,3.8,2
B075ZHWDN2,Samsung Galaxy S8+ G955U 64GB Unlocked GSM U.S. Version Phone w/ 12MP Camera - Midnight Black,1,1,0,0,6,3.3,10
B07643YNY8,"Apple iPhone SE, 32GB, Gold - For AT&T / T-Mobile (Renewed)",11,2,4,9,27,3.8,61
B0764K8Z1H,Samsung Galaxy S8 64GB G950U AT&T Unlocked - Arctic Silver (Renewed),1,0,1,1,2,4.1,8
B0766HPGYP,Google Pixel 2 128GB Unlocked GSM/CDMA 4G LTE Octa-Core Phone w/ 12.2MP Camera - Just Black,32,14,11,15,74,4,153
B0766NJPBN,"Google Pixel 2 GSM/CDMA Google Unlocked (Clearly White, 64GB, US warranty)",32,14,11,15,74,4,153
B0766TPHSH,Google Pixel 2 XL 64GB Unlocked GSM/CDMA 4G LTE Octa-Core Phone w/ 12.2MP Camera - Just Black,22,6,12,13,87,4.1,153
B0767538YH,Google Pixel 2 XL 128GB Unlocked GSM/CDMA 4G LTE Octa-Core Phone w/ 12.2MP Camera - Just Black,16,7,4,8,31,3.7,66
B076BVNGZQ,Nokia 3310 TA-1036 Unlocked GSM 3G Android Phone - Charcoal,1,0,0,0,2,4,7
B076BZ18GS,Nokia 3310 TA-1036 Unlocked GSM 3G (At&T Tmobile Metro PCS Mint Latin Caribbean) - Warm Red,2,1,1,1,7,3.7,15
B076HVSJQR,Samsung Galaxy S8 Orchid Gray 64GB Verizon and GSM Factory Unlocked 4G LTE (Renewed),2,1,2,1,4,3.9,1
B076KC34PM,"Apple iPhone 8 64GB GSM Unlocked Smartphone, RED (Renewed)",3,1,1,1,10,4.1,26
B076M9RQJ2,Samsung Galaxy S8 64GB Phone - 5.8in Unlocked Smartphone - Midnight Black (Renewed),25,0,10,14,68,4.1,167
B076MB4CYN,"Google Pixel 32GB Phone, Very Silver, 5 (Renewed)",6,5,2,2,11,3.5,32
B076QKMQ81,Google GA00139-US Pixel 2 64GB Just Black Verizon Wireless Smartphone,4,0,1,3,12,3.7,23
B076XLLCQC,Samsung Galaxy Note 8 N950 Factory Unlocked Phone 64GB Midnight Black (Renewed),127,33,59,101,446,4,891
B07753NSQZ,"Apple iPhone 8, GSM Unlocked, 256GB - Space Gray (Renewed)",18,1,4,8,45,4,96
B0775451TT,"Apple iPhone X, 256GB, Silver - For AT&T / T-Mobile (Renewed)",80,11,33,32,208,3.9,436
B07755LZ67,Apple iPhone 8 Plus 64GB Unlocked GSM Phone - Space Gray (Renewed),24,7,3,19,77,4,176
B07756QYST,"Apple iPhone 8, 64GB, Silver - Fully Unlocked (Renewed)",9,0,0,0,1,4,1
B0775717ZP,"Apple iPhone 8, 64GB, Gold - Fully Unlocked (Renewed)",9,0,0,0,1,4,1
B077578VXH,"Apple iPhone 8, GSM Unlocked, 64GB - Gold (Renewed)",7,1,2,7,30,4.2,72
B077578W38,"Apple iPhone X, Unlocked 5.8, 64GB - Space Gray (Renewed)",74,15,17,29,219,3.9,442
B0775H5HJW,"Apple iPhone X, GSM Unlocked, 256GB - Silver (Renewed)",25,6,4,18,58,3.8,139
B0776ZJ1C3,Modem Huawei USB 3G H+ GSM Unlocked K4605 (E372) USA Latin & Caribbean Europe Bands 850/900/1900 mhz BAM,2,0,0,0,1,3.3,4
B0777V5BRJ,Samsung Galaxy Note 5 SM-N920T 32GB T-Mobile GSM Unlocked - Sapphire Black,8,1,3,2,10,3.2,24
B077BL94N3,Samsung Galaxy Note 8 N950U 64GB - Sprint (Midnight Black),1,0,1,2,6,4,10
B077J7H62P,"Apple MGLW2LL/A iPad Air 2 9.7-Inch Retina Display, 16GB, Wi-Fi (Silver) (Renewed)",10,8,5,18,65,4.2,124
B077MR13HM,Samsung Galaxy S7 G930T T-Mobile Unlocked GSM - Gold,5,1,2,6,24,4,44
B077NJQPGB,Apple iPhone 7 256GB Unlocked GSM 4G LTE Quad-Core Smartphone - Jet Black (Renewed),2,0,0,2,3,3.6,8
B077NK4TZ7,Apple iPhone 7 256GB Unlocked GSM 4G LTE Quad-Core Smartphone - Rose Gold (Renewed),1,0,1,0,0,2.1,2
B077NTKFDB,Apple iPhone 7 Plus 256GB Unlocked GSM 4G LTE Quad-Core Smartphone - Silver (Renewed),6,0,1,0,7,3.6,17
B077T4MVZ6,Samsung Galaxy G550T On5 GSM Unlocked 4G LTE Android (Does Not Work With Metro PCS) Smartphone - White - (Renewed),17,1,1,5,7,2.5,32
B077V219SV,Samsung Galaxy S7 Active 32GB Camo Green GSM Unlocked,8,2,5,4,11,3.3,31
B077XM1GZM,"Apple iPhone 6S Plus, 64GB, Silver - Fully Unlocked (Renewed)",1,0,0,3,6,3.8,12
B077YTCMH9,"Samsung Galaxy S7 EDGE G935V 32GB, Verizon/GSM Unlocked, (Renewed) (Black)",124,36,46,62,300,3.8,606
B077ZKKDWK,Sony Xperia XA2 Ultra Factory Unlocked Phone - 6 Screen - 32GB - Silver (U.S. Warranty),45,26,21,34,165,3.8,304
B077ZMWX1W,"Sony Xperia L2, Unlocked, 32GB - Black (U.S. Warranty)",2,4,12,32,20,3.8,71
B0786PRKBP,Samsung Galaxy S8 - Unlocked - Midnight Black (Renewed),4,1,0,2,3,4,1
B0787V183F,"Google Pixel 2 64 GB, Black Factory Unlocked (Renewed)",78,29,20,43,160,3.7,363
B0788F8DKC,Samsung DeX Wireless Qi Desktop Charging Dock Station EE-MG950 Galaxy S8 + Note8 (Renewed),4,3,2,5,25,4.2,63
B0788ZD69Z,Samsung Galaxy S8 Plus Unlocked 64GB (Midnight Black) - (Renewed),4,1,0,2,3,4,1
B078BP86SC,"Straight Talk Samsung Galaxy J7 Sky Pro 16GB Prepaid Smartphone, Black (Locked)",7,0,5,3,26,3.9,44
B078HFZVZ8,"Apple iPad 2 MC774LL/A Tablet (32GB, Wifi + AT&T 3G, Black) 2nd Generation (Renewed)",0,3,0,0,2,3.2,5
B078HL31D8,Samsung Galaxy S7 32gb Gold AT&T,3,1,3,2,24,4,37
